epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,590.753,1.29912,0.60531,0.85654,0.95812,0.93426,0.95439,0.50248,1.61301,0.69008,0.90684,0.000109,0.000109,0.000109
92,597.598,1.26957,0.57434,0.84488,0.96564,0.92718,0.94693,0.49538,1.63367,0.68891,0.90926,9.91e-05,9.91e-05,9.91e-05
93,604.024,1.25208,0.56543,0.8481,0.96148,0.93141,0.94808,0.49463,1.63071,0.69199,0.90833,8.92e-05,8.92e-05,8.92e-05
94,610.365,1.23808,0.58018,0.85116,0.9702,0.93671,0.94902,0.49819,1.61256,0.68944,0.90766,7.93e-05,7.93e-05,7.93e-05
95,616.61,1.22443,0.55049,0.84531,0.96312,0.93434,0.94664,0.48376,1.65452,0.69046,0.91159,6.94e-05,6.94e-05,6.94e-05
96,622.766,1.22883,0.55956,0.84652,0.96365,0.93314,0.94661,0.4924,1.63033,0.68795,0.90825,5.95e-05,5.95e-05,5.95e-05
97,628.917,1.2012,0.55146,0.84108,0.95793,0.93424,0.94981,0.4904,1.64656,0.68984,0.91142,4.96e-05,4.96e-05,4.96e-05
98,635.509,1.23058,0.55915,0.84897,0.96663,0.92896,0.95097,0.49192,1.63225,0.68789,0.91043,3.97e-05,3.97e-05,3.97e-05
99,641.794,1.214,0.55812,0.84642,0.96559,0.92941,0.95216,0.48945,1.63943,0.68431,0.91124,2.98e-05,2.98e-05,2.98e-05
100,647.825,1.21676,0.56045,0.84367,0.96614,0.93272,0.95385,0.49481,1.62896,0.68354,0.91025,1.99e-05,1.99e-05,1.99e-05
